distance_km,weight_kg,price,payment_method,order_hour,is_fraud,data_source
79.99,5.58,189,Wallet,12,0,real_openml_creditcard_42397
757.58,24.44,1025,Prepaid,9,0,synthetic
38.58,8.36,185,Wallet,11,0,real_openml_creditcard_42397
77.26,6.54,198,COD,19,0,real_openml_creditcard_42397
83.04,5.69,193,COD,21,0,real_openml_creditcard_42397
373.98,31.69,767,COD,11,0,synthetic
532.22,40.01,1009,COD,4,0,synthetic
354.58,76.42,1286,Prepaid,8,0,synthetic
196.73,4.33,279,Prepaid,8,0,real_openml_creditcard_42397
13.19,10.18,184,Wallet,19,0,real_openml_creditcard_42397
169.91,26.26,518,Wallet,9,0,real_openml_creditcard_42397
186.81,26.22,533,Wallet,6,0,synthetic
706.59,8.17,784,Prepaid,15,0,real_openml_creditcard_42397
196.94,103.21,1466,Wallet,14,0,synthetic
88.63,4.27,181,COD,12,0,real_openml_creditcard_42397
623.77,111.8,1953,COD,9,0,real_openml_creditcard_42397
123.12,1.93,184,Wallet,22,0,real_openml_creditcard_42397
35.67,10.99,214,Prepaid,21,0,real_openml_creditcard_42397
752.55,51.65,1347,COD,0,0,synthetic
330.96,55.34,1012,Wallet,12,0,real_openml_creditcard_42397
501.32,41.14,995,Prepaid,14,0,synthetic
777.48,95.45,1895,Wallet,8,0,synthetic
209.6,10.7,367,Wallet,23,0,real_openml_creditcard_42397
354.55,6.41,446,Wallet,19,0,real_openml_creditcard_42397
560.03,78.43,1495,COD,2,0,synthetic
146.71,44.42,715,Prepaid,7,0,synthetic
421.71,23.79,715,Wallet,21,0,real_openml_creditcard_42397
57.81,6.66,182,Prepaid,17,0,real_openml_creditcard_42397
780.3,1.18,766,COD,22,0,synthetic
17.28,12.54,216,Wallet,21,0,real_openml_creditcard_42397
271.4,62.65,1046,Wallet,22,0,synthetic
668.91,26.11,965,Prepaid,13,0,synthetic
147.84,2.41,212,Wallet,8,0,real_openml_creditcard_42397
775.64,10.74,877,Prepaid,15,0,real_openml_creditcard_42397
716.54,89.78,1772,Prepaid,1,0,synthetic
766.38,70.33,1584,Wallet,16,0,synthetic
789.42,23.07,1037,Prepaid,17,0,synthetic
599.63,119.41,2023,Wallet,8,0,synthetic
31.76,9.53,193,COD,8,0,real_openml_creditcard_42397
42.73,8.46,190,Prepaid,16,0,real_openml_creditcard_42397
244.99,6.04,343,Prepaid,14,0,real_openml_creditcard_42397
753.0,39.22,1198,Wallet,1,0,synthetic
633.31,97.06,1785,COD,17,0,synthetic
744.67,64.28,1492,Wallet,18,0,synthetic
755.83,115.16,2112,Wallet,7,0,synthetic
459.86,39.72,940,COD,10,0,synthetic
310.64,18.15,547,Prepaid,0,0,synthetic
68.23,7.97,207,Wallet,19,0,real_openml_creditcard_42397
33.53,14.82,258,Wallet,11,0,real_openml_creditcard_42397
88.12,4.39,182,COD,23,0,real_openml_creditcard_42397
743.66,76.11,1633,COD,4,0,synthetic
263.65,65.72,1076,Prepaid,23,0,synthetic
721.31,27.15,1025,Wallet,6,0,synthetic
669.25,99.05,1841,Prepaid,22,0,synthetic
508.49,11.64,647,Wallet,17,0,synthetic
125.76,2.9,198,Wallet,10,0,real_openml_creditcard_42397
63.75,16.47,305,Wallet,14,0,real_openml_creditcard_42397
76.79,12.26,266,Prepaid,8,0,synthetic
1652.93,84.95,2557,COD,13,0,real_openml_creditcard_42397
241.53,27.3,595,COD,16,0,real_openml_creditcard_42397
171.75,7.7,297,Prepaid,16,0,real_openml_creditcard_42397
364.84,1.05,391,Wallet,11,0,real_openml_creditcard_42397
116.61,7.67,247,Wallet,11,0,real_openml_creditcard_42397
767.7,93.43,1862,Prepaid,21,0,synthetic
51.74,37.2,543,Prepaid,11,0,real_openml_creditcard_42397
287.12,53.0,944,Wallet,6,0,synthetic
514.17,100.16,1715,Prepaid,16,0,synthetic
18.09,18.29,286,COD,4,0,synthetic
221.66,52.89,884,COD,22,0,synthetic
415.03,5.53,490,Prepaid,14,0,synthetic
975.05,14.04,1096,Wallet,3,0,real_openml_creditcard_42397
31.45,9.81,196,Wallet,22,0,real_openml_creditcard_42397
734.84,24.25,1002,Wallet,18,0,synthetic
119.34,111.47,1495,Wallet,2,0,synthetic
135.54,1.08,185,Wallet,17,0,real_openml_creditcard_42397
696.91,77.42,1606,COD,21,0,synthetic
630.88,58.11,1315,Wallet,9,1,synthetic
13.39,14.25,233,Wallet,20,0,real_openml_creditcard_42397
112.65,4.05,200,COD,19,0,real_openml_creditcard_42397
30.03,8.91,184,Wallet,14,0,real_openml_creditcard_42397
345.56,5.88,432,Prepaid,6,0,synthetic
655.74,39.06,1109,COD,19,0,synthetic
679.06,108.13,1959,Prepaid,20,0,synthetic
755.53,114.02,2098,COD,3,0,synthetic
604.18,24.28,885,Wallet,18,0,synthetic
60.7,49.02,693,Wallet,12,0,synthetic
381.71,95.14,1535,COD,15,0,synthetic
473.84,71.97,1340,Wallet,6,1,synthetic
148.9,9.53,298,COD,1,0,synthetic
633.7,9.56,735,Wallet,5,0,synthetic
779.92,59.46,1465,Prepaid,21,0,synthetic
52.6,47.14,663,Wallet,7,0,synthetic
57.56,31.52,480,Wallet,14,0,real_openml_creditcard_42397
32.09,9.93,198,Wallet,23,0,real_openml_creditcard_42397
675.49,48.29,1237,Wallet,23,0,synthetic
87.49,11.19,263,Prepaid,10,0,real_openml_creditcard_42397
326.54,87.29,1391,COD,11,0,synthetic
323.13,14.91,520,Wallet,5,0,synthetic
176.18,9.54,323,COD,9,0,real_openml_creditcard_42397
355.54,103.52,1612,Prepaid,1,0,synthetic
446.2,75.97,1363,Wallet,22,0,synthetic
65.8,8.9,216,Prepaid,0,0,real_openml_creditcard_42397
22.66,12.13,216,Prepaid,8,0,real_openml_creditcard_42397
21.97,9.94,189,Wallet,17,0,real_openml_creditcard_42397
225.97,16.39,450,Wallet,15,0,real_openml_creditcard_42397
155.61,0.58,197,Prepaid,23,0,real_openml_creditcard_42397
52.45,21.68,357,COD,5,1,synthetic
60.85,4.95,164,Prepaid,19,0,synthetic
291.19,111.86,1654,Wallet,12,0,synthetic
23.07,9.77,188,Prepaid,14,0,real_openml_creditcard_42397
62.29,11.75,247,Prepaid,0,0,real_openml_creditcard_42397
108.29,5.46,213,Wallet,14,0,real_openml_creditcard_42397
230.13,95.92,1408,Prepaid,11,0,synthetic
48.89,111.14,1428,COD,16,0,synthetic
31.19,71.34,934,Prepaid,16,1,synthetic
376.01,52.02,1013,Wallet,6,0,synthetic
219.23,56.47,925,Prepaid,21,0,synthetic
218.06,1.65,266,COD,9,0,real_openml_creditcard_42397
133.42,4.58,225,COD,20,0,real_openml_creditcard_42397
25.62,108.16,1371,Wallet,14,0,synthetic
136.27,111.43,1510,COD,18,0,synthetic
141.53,3.64,221,COD,19,0,real_openml_creditcard_42397
172.94,93.64,1329,COD,14,0,synthetic
179.94,91.41,1309,Wallet,9,1,synthetic
742.32,4.61,773,COD,5,0,synthetic
371.18,18.4,605,Prepaid,18,0,synthetic
116.37,5.11,216,Wallet,14,0,real_openml_creditcard_42397
656.97,49.3,1233,Prepaid,0,0,synthetic
239.91,115.29,1649,Prepaid,0,0,synthetic
313.08,42.16,838,Wallet,18,1,synthetic
141.83,4.28,229,Wallet,20,0,real_openml_creditcard_42397
621.54,97.36,1778,Wallet,5,0,synthetic
514.98,90.06,1594,COD,20,0,synthetic
766.0,24.2,1030,COD,22,0,synthetic
642.46,5.4,693,Wallet,17,0,synthetic
38.66,9.52,199,Wallet,10,0,real_openml_creditcard_42397
127.67,1.59,184,COD,18,0,real_openml_creditcard_42397
33.63,81.98,1064,COD,6,0,synthetic
453.49,35.3,882,Prepaid,11,0,synthetic
752.39,47.44,1296,Prepaid,10,0,synthetic
39.43,8.96,193,COD,10,0,real_openml_creditcard_42397
613.86,63.71,1367,Wallet,9,0,real_openml_creditcard_42397
8.08,10.48,183,COD,16,0,real_openml_creditcard_42397
136.34,56.79,854,COD,1,0,synthetic
19.37,11.13,201,Prepaid,12,0,real_openml_creditcard_42397
133.73,90.37,1255,Prepaid,15,0,synthetic
97.13,11.05,270,COD,22,0,real_openml_creditcard_42397
89.62,5.94,202,Prepaid,20,0,real_openml_creditcard_42397
1499.93,76.34,2316,COD,16,0,real_openml_creditcard_42397
731.29,96.25,1863,Wallet,13,0,synthetic
107.07,5.39,211,Wallet,19,0,real_openml_creditcard_42397
407.66,112.27,1764,Wallet,21,0,synthetic
336.31,21.39,609,COD,2,0,synthetic
585.05,4.33,629,Wallet,21,0,synthetic
98.21,54.69,795,COD,14,0,synthetic
355.77,57.07,1055,Wallet,18,0,synthetic
427.36,4.48,488,Wallet,23,0,synthetic
255.62,42.83,794,Wallet,12,0,real_openml_creditcard_42397
683.77,48.29,1245,Wallet,9,0,synthetic
446.17,67.62,1263,Wallet,23,0,synthetic
648.75,2.8,667,COD,19,0,synthetic
791.63,5.92,834,COD,8,0,synthetic
341.08,85.39,1382,Prepaid,17,0,synthetic
122.48,1.81,182,COD,22,0,real_openml_creditcard_42397
99.02,7.57,230,COD,18,0,real_openml_creditcard_42397
699.19,21.86,942,COD,0,0,synthetic
97.41,8.86,244,COD,19,0,real_openml_creditcard_42397
193.15,34.28,635,COD,13,0,synthetic
366.9,134.4,1993,Prepaid,15,0,real_openml_creditcard_42397
385.99,82.79,1391,Wallet,6,0,synthetic
415.19,36.06,856,COD,7,0,synthetic
616.99,92.77,1718,Prepaid,8,0,synthetic
178.87,11.92,354,COD,9,0,real_openml_creditcard_42397
4.27,67.61,865,COD,13,0,synthetic
67.72,100.53,1317,COD,13,0,synthetic
34.29,8.43,182,COD,22,0,real_openml_creditcard_42397
183.12,19.27,446,Prepaid,14,0,real_openml_creditcard_42397
630.65,15.05,798,COD,17,0,synthetic
546.63,15.83,732,COD,22,0,synthetic
66.06,6.05,182,Prepaid,23,0,real_openml_creditcard_42397
767.51,61.7,1481,Wallet,10,0,synthetic
158.01,16.3,388,Wallet,9,0,synthetic
136.14,25.81,482,COD,3,0,synthetic
51.13,9.25,207,Prepaid,21,0,real_openml_creditcard_42397
294.92,76.08,1228,Prepaid,15,0,synthetic
111.42,7.81,244,Wallet,11,0,real_openml_creditcard_42397
167.78,14.33,373,Prepaid,16,0,real_openml_creditcard_42397
619.25,101.77,1829,COD,1,0,synthetic
328.58,26.65,666,Wallet,15,0,synthetic
731.73,98.93,1896,Wallet,14,0,synthetic
193.15,26.52,542,COD,15,0,synthetic
174.22,14.77,384,COD,12,0,real_openml_creditcard_42397
134.42,16.25,366,COD,11,0,real_openml_creditcard_42397
69.61,19.41,346,COD,18,0,synthetic
132.26,13.0,325,Wallet,21,0,real_openml_creditcard_42397
320.65,33.24,737,Prepaid,0,0,synthetic
74.87,29.38,470,Wallet,11,0,synthetic
438.5,90.62,1532,Prepaid,7,1,synthetic
366.16,3.75,425,Wallet,15,0,synthetic
449.63,20.73,703,Wallet,12,0,synthetic
795.27,14.52,940,Prepaid,21,0,synthetic
319.06,108.55,1640,Wallet,20,0,synthetic
27.73,25.37,379,Wallet,5,0,synthetic
104.36,6.34,220,Wallet,13,0,real_openml_creditcard_42397
185.4,2.85,251,Prepaid,14,0,real_openml_creditcard_42397
261.93,34.83,704,Wallet,19,0,synthetic
197.38,119.87,1666,COD,14,0,synthetic
338.12,63.52,1117,Prepaid,22,0,synthetic
307.57,51.12,940,Prepaid,18,0,synthetic
144.2,3.02,216,Wallet,10,0,real_openml_creditcard_42397
10.21,16.15,253,Prepaid,21,0,real_openml_creditcard_42397
33.22,97.58,1251,Wallet,21,0,synthetic
857.26,37.04,1266,Prepaid,12,0,real_openml_creditcard_42397
49.17,7.65,186,COD,17,0,real_openml_creditcard_42397
38.87,8.08,182,Wallet,7,0,real_openml_creditcard_42397
338.44,69.84,1193,Wallet,8,0,synthetic
222.17,79.18,1200,COD,3,0,synthetic
98.65,64.67,915,COD,14,0,synthetic
20.59,35.62,496,Prepaid,21,0,real_openml_creditcard_42397
171.23,16.16,398,Prepaid,1,0,real_openml_creditcard_42397
760.76,109.68,2051,Prepaid,3,0,synthetic
93.17,4.76,191,Prepaid,0,0,real_openml_creditcard_42397
55.47,6.76,181,Prepaid,9,0,real_openml_creditcard_42397
518.07,110.43,1841,COD,4,0,synthetic
789.61,43.28,1280,COD,1,0,synthetic
69.57,8.62,216,Prepaid,5,0,real_openml_creditcard_42397
16.52,17.18,271,COD,18,0,real_openml_creditcard_42397
568.21,85.44,1587,Wallet,0,1,synthetic
75.85,26.98,442,COD,12,0,real_openml_creditcard_42397
289.78,0.77,320,COD,14,0,synthetic
363.64,85.66,1405,COD,11,0,synthetic
351.78,24.31,658,COD,23,0,synthetic
769.92,29.41,1096,COD,4,0,synthetic
58.34,9.96,222,Prepaid,15,0,real_openml_creditcard_42397
17.35,97.37,1234,Wallet,9,0,synthetic
162.18,3.09,233,Prepaid,13,0,real_openml_creditcard_42397
629.43,73.39,1497,Wallet,8,0,synthetic
92.51,4.15,183,Wallet,23,0,real_openml_creditcard_42397
15.14,11.45,201,Wallet,5,0,real_openml_creditcard_42397
597.16,25.43,893,Prepaid,14,0,synthetic
4.11,15.94,245,Wallet,16,0,real_openml_creditcard_42397
122.08,2.09,185,Prepaid,19,0,real_openml_creditcard_42397
101.07,8.42,242,Prepaid,11,0,real_openml_creditcard_42397
110.18,5.74,218,COD,17,0,real_openml_creditcard_42397
470.25,97.66,1645,Wallet,6,0,synthetic
52.76,7.13,183,COD,5,0,real_openml_creditcard_42397
44.38,104.01,1338,COD,7,0,synthetic
206.18,39.67,712,Prepaid,14,0,synthetic
51.9,7.11,182,COD,7,0,real_openml_creditcard_42397
350.63,60.22,1088,COD,5,0,synthetic
28.93,80.94,1047,Prepaid,20,0,synthetic
365.35,57.62,1070,COD,14,0,synthetic
218.7,83.6,1250,COD,9,0,real_openml_creditcard_42397
439.69,100.29,1649,Prepaid,13,1,synthetic
103.58,3.4,184,Prepaid,8,0,real_openml_creditcard_42397
649.69,109.72,1951,Wallet,2,1,synthetic
145.19,2.86,215,COD,10,0,real_openml_creditcard_42397
141.71,5.62,245,Prepaid,8,0,real_openml_creditcard_42397
129.38,4.13,216,COD,9,0,real_openml_creditcard_42397
204.38,46.62,793,COD,4,0,synthetic
155.36,1.01,202,Prepaid,16,0,real_openml_creditcard_42397
315.56,68.72,1159,Prepaid,14,0,synthetic
200.83,116.99,1635,COD,0,1,synthetic
337.58,41.33,850,Wallet,11,0,synthetic
142.79,1.46,196,COD,18,0,real_openml_creditcard_42397
428.86,37.86,890,COD,16,0,synthetic
619.12,28.23,946,Wallet,10,0,real_openml_creditcard_42397
417.66,33.05,823,Prepaid,3,0,synthetic
4.45,27.67,386,Wallet,16,0,real_openml_creditcard_42397
1.37,22.68,323,COD,3,0,synthetic
8.47,12.78,211,Prepaid,2,0,real_openml_creditcard_42397
167.92,115.24,1584,Prepaid,11,0,synthetic
375.99,31.17,762,COD,23,0,synthetic
295.48,3.76,361,COD,15,0,real_openml_creditcard_42397
553.3,39.1,1017,COD,3,0,synthetic
209.46,119.55,1673,Prepaid,7,0,synthetic
76.91,6.23,194,Prepaid,12,0,real_openml_creditcard_42397
511.98,84.16,1521,COD,17,0,synthetic
132.17,48.91,756,Prepaid,19,0,synthetic
600.88,44.29,1122,Wallet,4,0,synthetic
64.79,8.56,211,COD,17,0,real_openml_creditcard_42397
169.1,5.9,273,Prepaid,22,0,real_openml_creditcard_42397
52.3,12.91,252,Prepaid,22,0,real_openml_creditcard_42397
110.88,13.85,316,Prepaid,14,0,real_openml_creditcard_42397
147.11,49.79,780,Wallet,0,0,synthetic
634.74,58.1,1319,Wallet,3,0,synthetic
789.86,43.85,1287,Wallet,21,1,synthetic
357.94,58.32,1072,Prepaid,20,0,synthetic
417.84,12.83,580,COD,8,0,real_openml_creditcard_42397
188.57,96.44,1377,COD,13,0,real_openml_creditcard_42397
207.59,79.72,1193,COD,9,0,synthetic
139.88,0.51,182,Prepaid,14,0,real_openml_creditcard_42397
687.96,10.75,798,Prepaid,2,0,synthetic
11.72,101.01,1273,Prepaid,22,0,synthetic
306.92,50.13,928,Wallet,17,0,synthetic
664.03,34.89,1066,Prepaid,23,0,synthetic
4.15,3.7,98,COD,8,0,synthetic
739.5,91.88,1818,Prepaid,10,0,synthetic
149.49,16.2,379,Wallet,17,0,real_openml_creditcard_42397
91.52,4.05,181,Prepaid,14,0,real_openml_creditcard_42397
34.97,14.29,253,COD,19,0,real_openml_creditcard_42397
61.86,8.19,204,Prepaid,14,0,real_openml_creditcard_42397
126.16,9.29,275,COD,2,0,real_openml_creditcard_42397
623.63,78.6,1554,Wallet,13,0,synthetic
12.94,108.94,1369,COD,18,0,synthetic
770.94,44.88,1282,COD,18,0,synthetic
773.35,4.93,805,Prepaid,14,0,synthetic
192.92,96.06,1376,COD,9,0,synthetic
101.65,7.71,234,Wallet,21,0,real_openml_creditcard_42397
674.92,13.79,823,Wallet,5,0,synthetic
289.54,10.91,442,Wallet,14,0,synthetic
98.57,3.61,182,Prepaid,7,0,real_openml_creditcard_42397
472.83,101.16,1689,COD,21,0,synthetic
641.4,23.37,908,COD,21,0,synthetic
459.67,82.27,1451,COD,12,0,synthetic
296.24,17.23,523,Prepaid,9,0,synthetic
507.38,117.83,1921,Prepaid,19,0,synthetic
106.66,2.83,180,Wallet,22,0,real_openml_creditcard_42397
11.85,23.69,345,COD,15,0,real_openml_creditcard_42397
155.82,1.23,205,COD,18,0,real_openml_creditcard_42397
16.54,9.68,181,COD,14,0,real_openml_creditcard_42397
176.91,1.34,225,Prepaid,11,0,synthetic
261.33,2.49,315,COD,8,0,synthetic
522.29,84.42,1533,Wallet,6,0,synthetic
119.9,2.09,183,COD,21,0,real_openml_creditcard_42397
2.0,51.22,666,Prepaid,3,0,synthetic
263.15,2.52,317,Wallet,18,0,synthetic
59.51,13.54,266,Wallet,9,0,real_openml_creditcard_42397
619.2,103.92,1854,Wallet,17,0,synthetic
323.25,7.59,432,COD,17,0,real_openml_creditcard_42397
527.08,11.85,667,COD,23,0,synthetic
109.19,5.23,211,COD,11,0,real_openml_creditcard_42397
129.52,1.2,181,Prepaid,11,0,real_openml_creditcard_42397
38.99,9.99,205,Prepaid,0,0,real_openml_creditcard_42397
83.65,16.31,321,COD,20,0,real_openml_creditcard_42397
768.88,32.49,1132,COD,14,0,synthetic
314.41,89.89,1412,Wallet,12,0,synthetic
181.58,57.91,908,COD,19,0,synthetic
2.05,32.82,446,Prepaid,15,0,synthetic
190.23,6.07,294,Wallet,9,0,real_openml_creditcard_42397
508.09,43.56,1030,Wallet,8,0,synthetic
51.51,8.97,204,COD,0,0,real_openml_creditcard_42397
318.6,17.33,545,Wallet,4,0,synthetic
43.94,7.62,181,Wallet,9,0,real_openml_creditcard_42397
85.42,5.51,193,COD,22,0,real_openml_creditcard_42397
78.95,10.58,248,Prepaid,16,0,real_openml_creditcard_42397
530.67,57.86,1222,Wallet,15,0,synthetic
555.39,101.8,1771,COD,2,0,synthetic
274.58,44.78,834,COD,11,0,synthetic
372.11,71.27,1240,Wallet,11,0,synthetic
8.22,11.72,198,COD,22,0,real_openml_creditcard_42397
329.81,8.16,445,COD,20,0,synthetic
137.93,0.91,185,Wallet,19,0,real_openml_creditcard_42397
228.37,20.68,504,Prepaid,20,0,synthetic
55.61,19.5,334,COD,13,0,real_openml_creditcard_42397
72.62,14.47,289,Prepaid,7,0,synthetic
606.12,99.47,1789,Wallet,21,0,synthetic
676.42,76.24,1574,Wallet,20,0,synthetic
76.92,6.9,202,Prepaid,8,0,real_openml_creditcard_42397
103.58,4.98,203,COD,19,0,real_openml_creditcard_42397
460.41,28.54,807,COD,22,0,synthetic
17.03,15.64,253,Prepaid,8,0,real_openml_creditcard_42397
341.68,29.96,717,COD,20,0,synthetic
798.05,96.74,1929,Prepaid,6,0,synthetic
362.55,99.84,1574,Prepaid,3,0,synthetic
299.33,19.22,550,COD,10,0,real_openml_creditcard_42397
215.96,15.89,435,Prepaid,2,0,real_openml_creditcard_42397
207.79,50.53,843,Wallet,16,0,synthetic
796.22,103.64,2010,Prepaid,1,0,synthetic
472.32,97.24,1642,Prepaid,9,0,synthetic
8.4,10.37,182,COD,16,0,real_openml_creditcard_42397
343.84,113.74,1724,Prepaid,20,0,synthetic
619.93,115.2,1990,Prepaid,3,0,synthetic
366.93,4.71,437,Prepaid,11,0,synthetic
604.37,27.18,920,Prepaid,15,0,synthetic
161.63,2.13,221,COD,8,0,real_openml_creditcard_42397
615.3,87.83,1658,COD,14,0,synthetic
121.64,109.66,1475,Wallet,1,0,synthetic
79.52,53.18,760,Wallet,1,0,synthetic
670.39,32.78,1047,Prepaid,7,0,synthetic
437.23,16.83,645,Wallet,22,0,synthetic
255.07,64.53,1054,COD,9,0,synthetic
21.62,32.18,456,COD,13,0,synthetic
75.4,5.68,186,Wallet,22,0,real_openml_creditcard_42397
145.26,3.36,221,Prepaid,18,0,real_openml_creditcard_42397
59.75,7.44,193,COD,8,0,real_openml_creditcard_42397
45.5,17.67,303,Prepaid,11,0,real_openml_creditcard_42397
127.66,32.13,550,COD,15,0,synthetic
242.7,39.3,740,COD,1,0,real_openml_creditcard_42397
584.05,79.85,1534,Wallet,9,0,synthetic
137.39,1.11,187,COD,18,0,real_openml_creditcard_42397
583.01,37.85,1029,Prepaid,18,0,synthetic
44.55,16.58,289,Wallet,15,0,real_openml_creditcard_42397
421.87,13.86,596,COD,13,0,real_openml_creditcard_42397
612.63,14.93,781,Prepaid,6,0,synthetic
692.05,9.43,786,Prepaid,9,0,synthetic
470.11,102.11,1698,Prepaid,9,0,synthetic
3.38,100.07,1254,COD,2,0,synthetic
34.74,8.98,189,Prepaid,10,0,real_openml_creditcard_42397
130.08,12.99,323,Prepaid,23,0,real_openml_creditcard_42397
137.46,55.66,842,COD,7,0,synthetic
635.44,75.53,1528,Wallet,17,0,synthetic
124.07,1.86,184,COD,23,0,real_openml_creditcard_42397
666.87,85.17,1672,Prepaid,18,0,synthetic
5.23,10.61,182,Wallet,22,0,real_openml_creditcard_42397
798.23,54.1,1418,COD,1,0,synthetic
591.13,25.21,885,COD,1,0,synthetic
21.97,110.1,1391,Wallet,2,0,synthetic
272.8,8.79,401,Prepaid,22,0,real_openml_creditcard_42397
332.63,4.39,402,COD,14,0,real_openml_creditcard_42397
450.48,5.31,519,COD,4,0,synthetic
113.18,113.65,1516,Wallet,12,0,synthetic
235.06,31.52,640,Wallet,23,0,synthetic
128.8,3.42,207,Wallet,16,0,real_openml_creditcard_42397
108.61,96.05,1300,Prepaid,19,0,synthetic
118.64,3.19,195,Wallet,21,0,real_openml_creditcard_42397
255.01,89.97,1359,Wallet,9,0,synthetic
306.84,117.61,1737,Wallet,11,0,synthetic
350.98,57.14,1052,Prepaid,17,1,synthetic
270.91,5.6,361,COD,9,0,real_openml_creditcard_42397
257.87,77.65,1214,Wallet,17,0,synthetic
439.73,63.38,1206,COD,23,0,synthetic
142.96,85.79,1208,Wallet,22,0,synthetic
454.97,66.48,1257,Wallet,15,0,synthetic
655.93,73.16,1518,Wallet,6,0,synthetic
199.07,74.62,1125,Wallet,16,0,synthetic
93.46,4.16,184,Prepaid,13,0,real_openml_creditcard_42397
56.12,7.46,190,COD,23,0,real_openml_creditcard_42397
84.76,4.56,181,Prepaid,10,0,real_openml_creditcard_42397
485.45,21.59,746,Prepaid,12,0,real_openml_creditcard_42397
605.32,8.47,696,COD,16,0,synthetic
94.8,12.14,281,Wallet,19,0,real_openml_creditcard_42397
595.76,43.31,1106,COD,13,0,synthetic
97.24,4.71,194,Prepaid,19,0,real_openml_creditcard_42397
362.55,101.2,1591,COD,12,0,synthetic
412.4,100.18,1623,Prepaid,13,0,synthetic
78.18,96.54,1279,Wallet,3,0,synthetic
449.81,55.61,1122,Prepaid,20,0,synthetic
247.21,108.84,1579,Prepaid,22,0,synthetic
487.07,5.92,559,COD,7,0,synthetic
34.45,115.03,1461,Prepaid,6,0,synthetic
1386.52,160.68,3226,Wallet,2,0,real_openml_creditcard_42397
421.87,16.28,625,COD,7,0,real_openml_creditcard_42397
754.05,26.13,1042,COD,20,0,synthetic
276.12,20.54,545,Wallet,15,0,real_openml_creditcard_42397
795.57,80.59,1733,Prepaid,9,0,synthetic
2.28,16.08,245,COD,8,0,real_openml_creditcard_42397
610.78,109.72,1916,Wallet,7,0,synthetic
559.15,63.25,1312,COD,12,0,synthetic
745.52,8.38,822,Prepaid,4,0,synthetic
769.73,36.25,1178,Wallet,7,1,synthetic
404.0,9.32,525,Wallet,16,0,synthetic
157.03,86.7,1232,COD,8,0,synthetic
60.69,40.59,592,Wallet,15,0,synthetic
4.26,16.68,254,COD,19,0,real_openml_creditcard_42397
540.27,17.8,750,Prepaid,7,0,synthetic
228.15,24.93,555,COD,8,0,synthetic
75.14,67.66,930,COD,0,0,synthetic
599.19,113.92,1956,Prepaid,6,0,synthetic
155.42,0.68,198,Wallet,13,0,real_openml_creditcard_42397
728.69,56.83,1388,COD,9,0,synthetic
688.37,38.79,1135,Prepaid,8,0,synthetic
132.8,1.04,182,COD,11,0,real_openml_creditcard_42397
110.7,28.94,497,COD,4,0,synthetic
38.53,33.35,485,Prepaid,12,0,synthetic
87.06,8.05,225,COD,17,0,real_openml_creditcard_42397
106.13,9.62,261,COD,12,0,real_openml_creditcard_42397
565.05,93.72,1683,Wallet,0,0,synthetic
608.79,85.87,1628,COD,16,0,synthetic
17.37,11.2,200,COD,20,0,real_openml_creditcard_42397
585.61,11.48,715,Wallet,12,0,synthetic
88.76,98.2,1308,Prepaid,5,0,synthetic
756.4,26.55,1049,Prepaid,8,0,synthetic
728.76,15.9,897,Wallet,20,0,synthetic
45.01,7.62,182,Prepaid,0,0,real_openml_creditcard_42397
